CLIENTE;NOMBRE;REFERENCIA;D_ENTREGA;CAJAS;PREPARADO;RUTA;POBLACION
L0MD37        ;LYCEE FRANCAIS D. BA          ;TELF.L0MD37270123 - 6105      ;20230130;1;0;6105;BARCELONA
L0MD51        ;RCIA.L MAS D'ANGLI            ;4003373315 - 6110             ;20230130;1;0;6110;BARCELONA
L0MD64        ;ARAN SALUT                    ;4003372812 - 7126             ;20230130;1;0;7126;VIELHA
L0MD81        ;CSC AT SOCIAL (FRED           ;4003372264 - 6150             ;20230130;1;0;6150;VILADECANS
L0N973        ;SEAT MARTORELL                ;4514628148 - 6140             ;20230130;1;0;6140;MARTORELL
L0ND05        ;ESCOLA PAU ROMEVA             ;TELF.L0ND05270123 - 6110      ;20230130;1;0;6110;BARCELONA
L0ND35        ;FEDAC AMILCAR                 ;4003373427 - 6120             ;20230130;1;0;6120;BARCELONA
L0I714        ;MEETROPOLITAN                 ;4514623916 - 6130             ;20230130;1;0;6130;SANT CUGAT DEL VALLES
L0I714        ;MEETROPOLITAN                 ;4514623925 - 6130             ;20230130;1;0;6130;SANT CUGAT DEL VALLES
L0I714        ;MEETROPOLITAN                 ;4514627030 - 6130             ;20230130;1;0;6130;SANT CUGAT DEL VALLES
L0JC79        ;ESCOLA PARE COLL              ;4003371343 - 6140             ;20230130;1;0;6120;VIC
L0JC94        ;COL·LEGI ESCORIAL             ;4003369809 - 6150             ;20230130;1;0;6120;VIC
L0JE72        ;BASF ESPANOLA-TARR            ;4003372825 - 7180             ;20230130;1;0;7180;LA CANONJA
L0G348        ;REFERENCE LABORATORY          ;4003370338 - 7180             ;20230130;1;0;6150;L'HOSPITALET DE LLOBREGAT
L0H168        ;LOUIS VUITTON                 ;TELF.L0H168270123 - 6130      ;20230130;1;0;6130;BARBERA DEL VALLES
L0H516        ;RCIA. LA IMMACULADA           ;TELF.L0H516270123 - 6130      ;20230130;1;0;6130;MOLLET DEL VALLES
L0H846        ;ESSITY SPAIN, S. L.           ;4003373688 - 7180             ;20230130;1;0;7180;PUIGPELAT
L0H846        ;ESSITY SPAIN, S. L.           ;4003373714 - 7180             ;20230130;1;0;7180;PUIGPELAT
;;;;;;;
